author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
EW4	male	13.26	7.403	40.667	1.711	2.468	3.586	0.691	16.681	10.364	25.302	6.35	1.645	1.875	4.014	0.296	15.365	1.612	0.823	0.757	0.724	0.823	114.401	54.223	3.455	0.625	0.132	25.071	0.428	5.264	0.107	4.788
EW5	male	3.256	1.803	92.434	2.229	7.037	0.952	25.369	33.708	10.318	30.903	16.403	0.376	2.604	3.556	0.801	19.183	0.526	0.701	2.204	0.275	0.776	81.591	52.966	1.628	0.025	0.175	15.752	12.472	8.039	0.085	4.86
EW6	male	19.637	5.754	60.829	2.176	3.034	17.376	1.889	10.534	14.799	35.639	9.16	1.088	3.235	7.099	0.887	15.83	0.372	1.975	3.464	1.345	0.802	113.013	57.108	2.118	0.401	0.372	17.032	0.487	4.036	0.096	4.794
EW7	male	16.47	5.584	39.505	1.396	3.098	5.65	0.284	11.54	8.028	37.935	11.932	1.44	1.767	3.316	0.327	14.834	1.374	1.069	1.723	0.698	0.654	112.517	51.176	2.247	0.218	0.044	15.423	0.327	15.423	0.095	5.146
EW8	male	6.19	4.938	54.16	2.662	5.166	7.76	0.319	12.857	10.013	33.361	7.077	2.048	2.617	4.232	0.205	9.762	0	0.819	4.164	1.024	0.41	119.174	58.711	3.072	0.774	0.091	22.164	0.41	15.11	0.091	4.869
EW9	male	53.91	10.866	9.541	1.612	6.581	2.518	0.53	20.782	4.527	20.804	7.045	1.877	2.407	3.6	0.088	14.643	0.044	0.53	1.148	0.464	0.375	124.671	39.93	2.032	0.331	0.375	5.896	0.155	6.14	0.11	4.719
EWA	male	10.059	3.633	56.305	1.657	2.056	11.756	0.2	11.077	8.303	29.34	9.441	1.138	2.655	4.151	0.379	10.858	0.679	1.158	3.014	0.758	0.599	117.061	44.609	2.335	0.439	0.16	12.176	0.359	7.904	0.087	4.867
EWB	male	40.608	7.597	37.151	9.649	5.242	19.715	3.533	12.46	9.231	5.812	14.435	0.646	1.785	2.431	0.418	9.383	3.077	0.988	1.557	0.608	0.95	126.002	53.067	1.178	0.418	0.532	5.508	5.242	9.687	0.139	4.356
EWC	male	64.074	9.189	38.118	7.521	5.816	21.844	11.917	37.891	11.462	4.888	12.712	0.341	3.638	3.107	0.739	14.607	0.796	0.644	0.587	0.246	0.549	78.112	68.374	1.951	0.663	1.913	14.948	18.983	7.654	0.063	4.15
EWF	male	68.833	9.833	26.935	5.985	1.71	9.406	5.13	56.007	10.261	7.696	10.688	0.855	3.848	2.566	0	14.964	0	0	2.565	0.428	0.428	77.383	61.137	1.71	0.855	0.855	18.812	12.398	5.558	0.281	4.225
EWG	male	60.349	6.801	4.961	3.636	3.486	0.748	0.128	17.279	3.956	31.287	7.613	1.091	1.711	2.908	0.086	15.761	0.813	0.748	1.347	0.513	0.107	124.698	37.66	1.668	0.235	0.214	3.807	0.235	6.394	0.107	4.948
EWH	male	74.604	11.069	21.24	4.625	4.694	12.173	10.562	63.743	9.78	6.904	13.922	0.828	1.864	4.211	0.552	14.705	1.289	1.174	1.105	0.391	0.99	90.574	59.716	1.749	0.598	0.966	11.506	10.608	7.41	0.094	4.224
EWM	female	55.948	9.042	28.822	3.673	4.38	50.438	1.695	19.214	6.64	16.106	8.76	1.131	4.38	2.119	0	10.737	3.815	1.13	1.413	0.424	1.413	114.298	43.515	2.402	0.565	0.141	8.76	6.64	9.89	0.243	4.437
EWR	male	19.866	5.004	30.64	1.703	3.982	3.62	0.021	7.793	7.453	42.16	10.54	1.768	0.937	3.705	0.149	14.905	0.511	1.107	3.215	0.852	0.149	136.786	45.162	2.725	0.341	0.128	8.155	0.17	11.243	0.092	5.16
EWS	male	39.253	6.068	23.229	3.508	4.077	0.474	0	6.353	4.93	30.625	9.861	1.327	0.853	3.034	0	7.775	0.284	0.19	0.853	0.19	0.284	113.587	32.426	0.759	0.284	0.474	5.404	0.379	8.344	0.222	5.021
EWW	male	2.866	2.776	78.763	1.647	5.868	23.087	0	2.798	7.47	28.684	6.093	1.648	0.993	5.168	0.406	8.508	0.023	0.293	0.97	0.158	0.135	99.616	60.235	2.279	0.068	1.038	14.534	0	4.22	0.054	4.402
EWX	male	20.69	7.4	52.429	1.511	6.045	13.185	4.378	7.922	8.339	38.931	10.006	1.303	4.69	5.264	0.261	12.925	0.521	1.407	3.075	0.469	1.042	105.274	42.474	2.033	0.261	0.104	14.801	0.208	7.817	0.128	5.136
EX0	male	7.377	4.383	51.824	3.127	2.833	0.214	2.405	9.435	7.029	21.435	10.825	5.479	1.764	1.898	0.187	10.851	1.256	1.016	1.417	0.401	1.203	107.363	63.638	3.261	0.668	0.08	11.546	0	16.838	0.1	4.932
EX1	male	62.156	4.535	11.428	2.902	6.651	0.363	0	29.264	5.986	7.377	13.121	0.907	0.423	1.088	0	11.186	0.907	0.363	1.814	0.242	1.149	119.354	41.054	1.814	0.121	0.06	3.205	0.363	4.898	0.145	4.603
EX2	male	4.035	3.129	61.493	2.515	2.164	6.608	0.351	6.491	8.392	31.638	12.047	1.199	4.415	4.707	0.234	16.696	0.643	1.345	1.696	0.439	2.281	100.822	60.265	2.252	0.468	0.205	21.492	0.029	5.38	0.084	5.02
EX4	male	18.041	6.765	63.789	8.054	7.088	1.611	3.544	33.827	16.108	8.376	14.175	0.322	2.577	0.966	1.289	10.954	1.611	1.933	1.289	0	0	114.369	62.5	1.289	0.322	0.966	6.442	1.933	11.598	0.29	4.328
EX5	male	5.207	3.601	68.428	1.514	3.464	5.964	36.153	8.625	6.217	24.316	14.36	1.009	2.294	2.202	1.285	23.857	1.652	0.551	0.734	0.298	1.353	93.295	55.238	1.308	0.184	0.138	15.301	9.52	13.167	0.102	4.812
EX6	female	3.074	3.479	56.983	2.508	1.969	0.485	11.461	9.223	8.926	25.781	10.167	1.375	3.614	4.207	0.351	22.303	0.216	1.025	3.964	0.566	0.458	97.247	59.087	1.834	0.485	0.054	25.996	0.809	12.999	0.08	4.714
EX7	female	60.957	10.456	20.245	3.337	4.004	31.591	26.251	12.013	10.011	18.91	9.566	0.89	3.56	2.002	0.222	14.905	0.667	0.445	1.78	0.89	1.335	110.122	44.494	1.78	0.222	0	11.345	3.337	9.344	0.284	4.382
F98	male	13.438	8.639	39.674	0.64	3.999	5.439	0.96	8.319	6.399	29.275	6.399	1.28	2.56	3.839	0.8	17.757	0.16	1.28	4.799	1.12	1.12	129.579	43.033	2.4	0.16	0	13.278	0	8.159	0.22	5.059
F99	female	81.767	10.26	26.243	4.807	6.66	19.521	10.218	58.75	14.922	4.87	15.463	0.271	2.747	1.269	1.145	13.382	1.02	0.458	0.437	0.208	0.416	73.921	70.987	2.893	0.937	0.999	11.738	19.105	4.474	0.063	4.069
F9C	male	74.594	11.323	26.261	3.806	4.246	13.389	9.181	52.904	17.023	7.211	12.165	0.669	2.219	1.454	0.822	11.763	1.014	0.497	0.975	0.268	1.071	81.671	63.022	2.142	0.899	1.588	9.277	20.657	5.088	0.088	4.181
F9D	male	5.243	4.763	59.686	1.988	2.753	4.064	6.925	7.494	13.545	22.568	10.246	1.639	3.233	3.451	0.546	21.192	1.311	0.983	1.748	0.35	0.874	102.855	62.679	2.425	1.136	0.24	14.113	0.481	8.214	0.081	4.744
F9F	male	4.682	4.279	75.021	7.728	4.346	0.896	1.501	34.184	16.487	8.781	14.471	1.232	1.859	2.621	0.291	14.449	3.181	1.344	1.142	0.56	0.336	107.435	69.488	3.495	0.762	0.224	12.926	0.134	7.303	0.098	4.494
F9G	male	21.114	7.558	43.409	8.182	4.415	3.701	0	4.08	7.135	48.716	7.982	1.204	3.233	2.631	0.111	8.316	0.134	0.446	3.768	0.29	1.137	143.918	40.087	2.073	0.758	0.045	5.707	0.223	9.632	0.089	5.1
F9K	male	6.632	3.534	77.491	1.629	2.845	28.248	6.333	8.789	12.781	30.909	9.087	1.194	5.943	13.883	0.367	16.545	0.528	3.396	2.868	1.629	1.514	94.61	51.263	2.478	0.252	0.115	24.875	1.308	3.534	0.058	4.645
F9L	male	55.494	6.914	7.697	1.89	5.277	0.991	0.161	25.235	4.701	27.816	6.96	2.489	0.968	2.259	0.207	15.026	0.046	0.807	2.812	1.544	0.922	136.108	52.683	3.618	0.553	0.23	5.508	0.092	12.906	0.103	4.904
F9M	male	15.6	3.689	118.373	2.214	5.903	59.766	5.06	6.324	17.603	9.065	16.338	0.422	2.214	0	0.738	3.689	0	0	0.422	0	0.738	58.712	51.439	0.316	0.105	3.373	10.752	18.552	6.114	0.18	3.843
F9P	male	61.622	6.844	2.781	3.936	4.919	0.086	0	10.759	5.198	30.757	7.101	1.733	1.797	3.871	0.128	18.566	0.107	1.112	2.053	0.492	0.834	121.169	41.259	2.011	0.278	0.107	7.465	0.086	7.315	0.084	5.061
F9R	female	68.516	10.682	41.522	1.805	6.233	28.369	16.355	52.311	17.387	5.996	7.759	0.236	2.515	4.126	0.623	15.001	0.516	0.365	1.01	0.279	0.623	65.636	61.768	2.536	0.494	1.59	11.907	17.494	4.255	0.081	4.087
F9U	female	61.38	7.532	17.519	3.163	5.659	3.537	1.685	42.113	6.138	18.622	12.713	1.332	0.957	3.329	0.666	12.068	1.498	1.436	2.372	1.581	0.624	116.768	48.709	1.893	0.375	0.229	6.014	1.748	9.738	0.124	4.769
F9W	male	11.892	4.152	62.372	2.64	2.031	18.775	5.438	12.479	9.748	29.335	13.381	1.602	3.159	3.769	1.331	16.654	0.158	0.903	2.956	0.812	0.97	102.629	51.405	1.783	0.654	0.7	16.382	3.046	9.794	0.083	4.781
F9X	male	69.684	10.104	31.026	5.821	4.1	15.431	8.127	40.251	10.928	9.665	12.593	0.476	2.068	2.288	0.458	13.014	1.83	0.494	0.201	0.055	0.201	77.903	55.828	3.185	1.538	1.336	10.324	19.128	4.979	0.081	4.423
F9Y	male	43.191	6.182	24.381	3.965	5.084	8.581	3.152	18.098	6.914	20.172	15.17	0.833	0.935	1.728	0.366	17.793	0.63	0.61	1.728	0.732	0.813	107.815	60.048	2.989	0.874	0.325	8.622	3.965	7.158	0.108	4.709
FA1	male	8.354	5.066	63.658	1.6	2.155	5.755	5.621	15.865	9.132	43.461	12.132	2.044	2.022	2.511	0.444	17.02	0.311	1	3.888	0.867	1.155	111.563	48.993	1.755	0.555	0.289	11.977	6.71	8.732	0.083	4.952
FA2	male	20.435	5.561	45.504	8.228	5.448	3.933	8.386	8.997	12.41	7.731	7.889	1.085	3.165	1.379	0.271	10.873	1.515	0.949	1.402	0.565	1.944	123.378	73.557	3.119	0.836	0.158	7.121	0.429	7.279	0.12	4.52
FA3	male	5.547	5.527	54.501	2.025	2.693	3.604	0.142	7.572	9.394	36.118	7.471	1.498	3.523	3.725	0.283	11.682	0.648	0.871	3.523	0.668	0.769	113.556	52.861	2.369	0.324	0.101	12.248	0.223	18.464	0.08	5.184
FA4	male	11.147	10.542	47.013	1.454	5.21	2.787	0.242	15.267	5.695	31.746	11.026	0.969	1.575	3.878	0	12.117	0.364	0.727	1.939	0.485	0.848	100.569	44.348	1.575	0.121	0.121	7.391	0.121	12.48	0.207	5.394
FA6	female	23.16	7.415	59.483	1.408	2.393	12.765	5.045	15.135	12.037	31.02	10.864	1.854	2.534	8.283	0.305	16.496	0.798	1.455	2.769	0.469	2.206	104.09	56.386	2.135	0.68	0.188	10.019	8.964	10.559	0.076	4.866
FA9	male	20.939	7.531	42.105	1.448	2.462	2.669	0.269	14.463	6.89	35.774	10.366	1.469	3.704	5.669	0.662	14.483	0.145	1.407	2.628	0.497	0.89	108.75	40.409	1.676	0.207	0.124	16.759	0.993	7.656	0.091	5.26
FAB	female	79.462	11.999	33.225	4.553	6.192	20.619	14.205	72.885	10.522	4.371	10.057	0.505	1.214	2.59	0.607	10.886	0.89	0.931	0.749	0.061	0.769	73.695	67.301	1.396	0.526	2.327	11.553	17.726	4.775	0.071	4.027
FAD	male	8.881	6.624	57.297	3.354	3.418	13.755	0.338	4.789	9.789	32.298	7.405	2.026	2.869	5.928	0.274	10.59	3.333	2.468	0.464	0.127	0.928	118.202	53.922	1.413	0.274	0.084	13.27	0.105	7.215	0.073	5.022
FAE	female	21.614	5.683	44.584	2.519	2.239	2.562	0.753	24.089	8.869	20.236	7.255	1.981	1.055	3.789	0.323	10.979	1.442	1.141	0.969	0.581	1.119	116.249	48.825	3.401	0.667	0.043	8.224	0.797	7.492	0.118	4.779
FAF	male	13.181	10.336	42.973	2.323	3.387	1.129	0.022	8.512	4.886	33.875	14.505	1.542	1.976	3.409	0.369	14.44	1.976	1.216	1.455	0.282	0.717	127.03	43.017	2.258	0.369	0.043	12.833	0.13	4.799	0.076	4.931
FAG	male	36.493	7.083	28.499	7.232	8.143	4.834	0.26	10.95	10.243	12.846	6.191	2.082	2.714	1.803	0.279	7.994	1.673	0.651	1.673	0.372	0.428	126.992	63.338	3.774	1.041	0.446	5.373	0.335	10.857	0.101	4.78
FAJ	male	20.932	9.131	75.302	4.638	4.472	30.146	6.315	40.353	8.344	11.532	10.911	0.787	2.091	3.727	0.455	13.561	0.435	1.077	2.153	0.497	0.828	91.368	50.995	1.926	0.807	0.911	9.586	5.404	6.066	0.11	4.377
FAK	male	8.406	4.706	48.354	1.773	3.152	2.955	0.022	8.515	6.567	44.742	8.34	2.277	1.445	2.517	0.197	12.127	0.066	1.007	5.538	0.788	0.35	142.654	45.224	2.933	0.438	0	10.068	0.022	11.908	0.087	5.217
FAN	male	74.43	6.818	9.509	2.934	5.644	2.913	0.405	31.216	3.237	23.65	7.607	1.537	2.064	4.188	0.061	13.413	0.263	0.931	2.448	0.728	0.486	104.352	40.725	2.064	0.607	0.384	6.312	0.142	5.179	0.115	4.944
FAP	male	67.949	8.277	40.731	5.621	5.043	50.009	17.594	32.165	13.07	7.18	8.912	0.404	2.791	1.694	0.924	13.628	0.539	0.327	1.386	0.212	0.558	72.896	67.968	0.789	1.174	1.906	13.069	26.833	2.156	0.066	3.974
FAS	female	35.923	4.327	61.28	6.037	5.232	34.313	25.659	19.722	8.452	4.025	14.389	0.201	1.409	1.207	0.201	6.541	0.101	0.101	0.604	0	0.302	86.838	53.934	1.61	0.503	0.604	8.15	9.157	4.025	0.204	4.17
FAT	female	84.167	12.478	15.507	3.051	3.157	53.745	2.521	37.793	10.741	10.465	10.783	0.593	2.267	4.194	1.208	17.774	1.61	1.462	0.784	0.297	0.741	96.538	50.038	2.224	0.339	0.508	11.906	4.237	6.631	0.104	4.33
FAU	male	12.186	4.267	44.652	1.386	1.496	1.364	0.33	10.844	5.477	37.415	9.018	1.188	1.518	4.157	0.11	15.397	0.132	1.122	3.541	0.814	0.308	121.989	31.366	1.474	0.044	0	16.342	0.044	8.402	0.07	4.717
FAV	male	10.353	5.022	48.791	1.119	2.808	1.023	0	6.807	5.522	56.621	11.377	1.833	2.047	3.498	0.214	13.423	2.213	0.976	1.499	0.452	0.714	117.074	35.439	1.428	0.19	0.071	11.806	0.024	12.305	0.082	5.281
FAW	male	22.879	3.691	34.333	3.105	2.256	1.142	0.234	10.253	4.482	34.831	9.784	1.26	1.992	2.783	0.088	9.491	0.996	0.937	2.226	0.762	1.67	124.766	44	2.373	0.234	0	6.708	0.117	9.931	0.108	5.178
FB0	female	67.384	14.473	19.824	2.686	5.084	6.089	3.854	58.938	10.517	11.562	11.501	0.493	1.251	2.87	0.533	13.12	0.861	1.107	0.923	0.369	0.472	89.176	58.364	1.866	0.697	0.964	9.246	6.232	7.483	0.12	4.595
FB1	male	48.227	6.223	13.164	3.038	2.721	0.211	0	15.379	4.937	42.256	6.877	1.604	1.266	1.814	0.105	13.481	0.549	1.139	1.983	0.823	0.127	132.318	38.881	1.857	0.338	0.042	4.578	0.127	11.561	0.1	5.396
FB3	male	9.817	3.147	47.621	1.751	3.457	3.213	0.177	8.664	6.559	36.298	7.601	1.551	2.017	2.327	0.244	8.266	0.31	0.753	1.463	0.532	0.51	112.217	54.025	2.039	0.665	0.222	7.978	0.465	10.77	0.104	5.27
FB5	male	19.172	6.051	28.83	1.874	2.689	3.443	0.102	5.827	6.092	49.673	11.41	1.243	1.915	4.339	0.102	13.406	0.163	0.835	2.71	0.632	0.407	129.765	42.277	2.119	0.122	0.081	11.96	0.285	7.702	0.087	5.278
FB7	male	53.264	4.918	9.542	2.04	3.422	1.088	0.159	12.67	7.276	34.633	5.372	1.065	1.451	1.745	0.136	10.947	2.493	1.269	2.493	0.793	0.657	133.386	30.168	2.017	0.136	0.136	6.913	0.181	8.681	0.116	5.185
FB8	male	19.113	3.949	39.641	3.092	4.471	0.596	0.224	12.108	6.147	19.522	12.146	1.825	0.447	1.379	0.186	9.389	1.677	0.522	0.447	0.186	0.484	108.044	65.311	4.098	0.82	0.186	6.148	1.118	10.096	0.161	4.851
FB9	male	62.463	11.239	26.818	3.648	3.942	17.236	10.903	47.45	9.771	7.737	11.281	0.65	1.342	1.929	0.86	13.378	0.398	0.419	1.845	0.671	0.629	90.12	58.962	2.327	0.587	1.992	10.336	14.698	4.508	0.099	4.366
FBA	male	36.287	6.561	22.556	3.891	5.823	0.966	0	12.537	7.959	20.623	11.672	2.924	0.331	3.23	0.305	12.664	0.407	1.322	1.704	0.407	0.458	147.031	49.638	3.077	0.356	0.102	5.264	0	11.85	0.129	4.969
FBB	male	39.914	4.873	27.791	2.961	4.733	2.425	0.21	14.338	5.642	17.439	6.108	1.143	2.565	3.824	0.396	9.955	0.07	0.793	2.168	0.933	1.142	115.942	47.585	1.632	0.233	0.187	7.041	0.047	6.948	0.126	4.88
FBE	male	16.376	4.026	51.901	1.82	3.571	7.164	0.045	10.712	10.826	43.168	10.03	2.024	1.774	6.573	0.523	13.896	4.39	3.707	0.364	0.114	1.638	121.884	43.168	1.638	0.432	0.045	17.694	0.068	8.461	0.071	5.032
FBG	male	41.421	6.182	47.053	6.457	5.014	33.315	9.411	27.27	11.746	7.762	18.547	0.824	1.236	0.824	0.343	8.449	0.824	0.137	0.687	0.206	0.481	106.402	53.304	2.198	0.962	0.893	8.312	9.617	3.641	0.213	4.308
FBJ	male	38.383	10.115	27.129	0.703	2.177	4.254	0.067	13.096	7.837	34.096	10.45	1.407	2.579	7.369	0.134	15.775	0.402	2.244	3.416	0.469	0.938	118.699	34.967	1.976	0.1	0.067	12.359	0.167	6.766	0.103	4.846
FBK	male	30.661	9.932	34.202	1.123	2.015	2.274	0.115	12.466	9.702	36.073	10.22	1.785	2.994	7.168	0.288	19.26	0.547	2.361	2.764	0.662	1.065	116.338	32.417	1.9	0.173	0.058	17.446	0.374	5.47	0.093	4.859
FE5	male	43.319	10.649	16.855	3.214	5.482	6.49	0.725	15.595	5.135	21.392	8.758	1.103	1.229	6.364	0.284	14.429	0.221	2.142	2.898	0.693	0.536	128.32	40.137	1.544	0.284	0.189	12.35	0.063	5.765	0.086	4.789
FE6	male	6.68	2.672	49.503	1.242	3.235	0.398	0	4.617	5.438	41.276	14.321	4.664	0.891	2.367	0.281	18.986	1.734	1.078	1.852	0.234	0.094	109.038	43.432	2.742	0.023	0	18.54	0.07	11.907	0.066	5.157
FEB	female	9.689	2.718	57.704	3.448	4.781	0.377	1.812	6.291	13.036	10.947	9.865	2.24	1.762	1.41	0.126	12.759	0.403	0.428	1.686	0.352	0.554	102.851	55.163	1.963	0.428	0.201	12.633	0.126	17.163	0.102	4.709
FED	male	22.69	5.615	36.12	1.077	2.109	0.275	0	4.996	4.378	37.175	9.97	1.696	2.177	6.647	0.115	11.437	0.756	1.421	2.246	0.39	0.321	115.443	41.094	2.04	0.252	0.069	8.205	0.115	17.304	0.084	5.225
FEE	female	76.449	11.586	33.289	3.316	6.386	64.957	15.467	30.161	17.822	6.707	12.848	0.584	2.374	2.336	1.093	14.921	0.641	0.622	0.772	0.283	1.262	71.815	77.278	2.524	0.791	2.694	13.112	27.449	3.956	0.078	3.964
FEF	male	3.487	2.831	62.349	4.902	4.143	21.612	3.176	1.692	6.318	27.964	12.843	1.174	3.004	4.972	0.173	8.631	0.656	0.932	0.587	0.138	1.105	106.918	47.987	1.623	0.104	0.552	20.3	0.932	2.002	0.08	4.542
FEM	male	72.031	6.098	16.742	8.956	3.825	26.261	2.903	29.434	7.471	9.946	11.679	0.518	1.98	1.013	0.18	8.484	0.248	0.383	2.34	0.563	0.045	120.322	43.318	1.98	0.855	0.293	4.771	0.653	7.696	0.112	4.406
FEP	male	53.155	9.521	21.293	6.288	6.399	31.973	1.784	24.259	8.584	11.237	14.961	1.293	1.271	2.787	0.379	13.868	0.245	1.249	3.255	1.003	0.134	113.534	63.746	3.523	0.468	0.424	7.313	2.297	8.517	0.134	4.724
FES	male	52.93	9.123	11.05	2.902	3.97	4.179	0.302	19.686	5.711	29.042	11.19	1.509	1.857	4.155	0.07	16.691	0.279	1.555	3.645	1.207	0.325	126.358	40.974	2.229	0.72	0.093	7.823	0.232	10.632	0.11	4.86
FET	female	71.256	9.09	17.765	3.299	3.445	10.923	5.523	45.427	6.915	9.994	10.947	0.415	2.175	2.517	0.489	10.165	0.611	0.733	1.124	0.415	1.1	89.045	52.367	2.492	0.733	0.733	7.771	6.011	10.972	0.137	4.592
FEU	male	9.879	5.932	66.329	1.663	2.665	5.731	28.876	10.1	7.855	25.029	11.462	1.944	2.445	4.328	0.541	16.532	1.543	2.224	0.822	0.321	0.681	104.763	50.117	2.825	0.24	0.521	21.221	2.184	9.438	0.078	4.587
FEV	male	6.496	3.33	67.908	5.055	2.527	9.968	0.26	17.55	7.7	15.849	13.322	1.465	0.685	2.717	0.26	14.881	0.425	1.063	2.858	0.709	1.535	107.967	58.271	4.015	0.378	0	12.4	0.118	7.464	0.093	4.697
FEW	male	21.271	6.62	45.219	1.29	2.312	5.087	0.073	14.602	4.867	38.599	12.169	1.339	2.19	4.161	0.316	15.43	0.341	1.071	3.432	0.998	1.898	116.211	54.175	4.6	0.608	0.097	7.836	0.024	7.326	0.064	5.138
FEX	male	9.831	5.178	63.404	1.235	3.549	12.039	29.441	7.203	7.544	15.325	11.829	1.104	2.182	3.601	0.605	18.48	2.077	1.393	1.472	0.184	0.473	94.159	57.384	2.55	0.499	0.289	17.507	2.024	12.355	0.082	4.577
FF0	male	13.832	7.696	56.863	1.984	5.237	9.31	26.845	13.806	12.193	17.165	11.135	1.032	2.486	4.126	0.503	19.254	2.486	1.375	1.719	0.45	1.164	102.195	68.448	3.65	1.587	0.635	20.894	1.084	3.782	0.094	4.437
FNR	male	4.027	1.528	76.782	2.685	2.189	4.027	2.994	4.068	10.739	17.781	8.797	1.095	3.862	3.036	0.681	6.257	0.021	0.413	3.779	1.404	0.971	92.415	45.288	2.478	0.723	0.041	15.799	0.227	3.449	0.064	4.398
FNT	female	80.399	13.185	23.863	4.125	5.86	15.189	12.086	74.751	9.831	8.327	7.826	0.463	1.581	2.043	0.386	11.122	0.405	0.463	2.275	0.578	0.212	81.343	62.472	2.679	0.617	1.137	10.679	11.18	3.836	0.088	4.33
FNU	female	82.374	13.011	22.972	4.628	3.69	13.565	7.423	67.059	11.326	6.484	16.125	0.597	1.834	1.578	0.661	13.437	0.363	0.512	0.768	0.448	0.725	91.076	50.977	1.728	0.363	0.448	9.321	18.556	3.093	0.101	4.297
FNX	male	62.488	12.498	10.227	2.376	5.114	2.78	2.546	23.51	8.975	19.606	12.752	1.21	1.528	3.544	0.191	16.168	0.743	1.422	1.655	0.955	0.318	106.707	50.542	2.631	0.764	0.53	9.123	2.78	6.472	0.117	4.798
FNY	male	85.821	5.039	28.762	3.334	7.675	55.353	8.838	45.818	12.171	1.783	4.419	0.233	2.868	2.248	0.698	12.016	0	0.465	0.31	0	1.628	72.331	57.059	1.938	0.465	0.31	10.311	8.45	5.737	0.069	3.935
FP0	female	74.141	8.371	24.906	8.247	4.185	16.453	10.721	68.801	12.886	10.185	14.164	0.268	2.412	1.959	0.948	13.649	2.845	1.031	0.577	0.227	1.196	87.44	64.637	2.845	1.34	0.948	13.381	21.484	4.412	0.103	4.354
FP1	male	69.26	12.578	17.465	4.807	5.368	11.677	5.508	57.743	9.714	12.678	8.953	0.761	1.983	3.585	0.34	13.94	0.2	0.381	3.084	1.462	0.581	90.851	65.094	1.883	0.481	0.581	13.46	2.704	7.431	0.106	4.358
FP2	male	4.753	4.198	52.286	1.687	1.461	1.646	0	8.395	8.951	47.039	12.737	1.934	2.222	8.395	0.453	17.881	2.552	2.325	1.42	0.412	1.111	128.4	46.175	2.572	0.062	0.041	19.075	0.082	6.482	0.073	5.208
FP3	male	78.598	11.99	20.595	9.357	6.703	12.499	6.26	56.144	11.503	6.039	11.791	0.376	3.362	4.38	0.73	14.998	2.301	1.217	1.46	0.973	0.575	94.127	71.585	2.743	0.31	0.885	14.003	3.009	11.083	0.062	4.1
FP5	male	78.677	0.141	36.312	7.882	6.897	17.593	5.63	41.52	10.978	0.844	0.844	0	4.222	0.141	0.141	8.023	0	0	0	0	0.704	76.144	48.698	1.267	0	0.704	4.926	17.452	5.348	0.077	4.064
FP6	male	27.041	5.791	79.078	5.877	5.515	47.928	12.371	27.424	12.796	4.599	19.482	0.532	2.768	1.256	0.639	10.689	0.532	0.17	0.852	0.085	1.469	78.78	74.266	2.363	1.597	1.214	6.43	25.252	6.664	0.09	4.089
FP7	male	79.353	9.75	34.923	4.36	4.28	22.407	15.18	51.9	12.294	6.722	11.506	0.141	2.019	2.301	1.03	12.697	0.989	0.505	0.343	0.061	0.807	72.429	55.937	1.877	1.151	1.352	9.71	23.699	4.744	0.076	4.05
FPB	female	63.103	9.12	36.439	3.251	6.564	21.88	16.604	43.105	8.241	8.22	7.116	0.981	1.104	4.335	0.797	15.909	0.941	0.716	0.634	0.082	1.186	74.207	59.832	2.249	0.511	0.818	12.535	22.861	3.722	0.096	4.361
FPC	male	13.566	4.898	37.77	1.297	5.691	4.466	0.24	6.195	8.14	46.102	5.715	2.521	4.37	2.593	0.072	6.579	0.096	0.672	1.873	0.48	0.48	127.908	63.126	2.377	0.36	0.168	8.333	0.12	16.88	0.077	5.218
FPE	male	90.072	2.486	40.357	5.118	4.679	76.181	11.259	28.952	9.504	0.439	4.24	0	3.509	0.731	0.439	9.066	0.292	0	0	0	0.585	63.752	48.399	0	0	0.439	5.848	22.518	5.264	0.082	3.757
FPF	female	63.088	9.329	38.911	5.578	6.059	35.66	14.887	50.066	13.002	5.424	13.695	0.442	2.404	1.462	0.654	11.829	0.635	0.173	0.558	0.269	1.019	74.263	61.665	1.904	0.539	1.789	10.54	25.408	3.058	0.08	4.092
FPG	male	5.049	3.343	60.783	1.731	2.015	1.446	0.474	3.437	7.159	24.939	11.877	1.517	2.418	3.651	0.593	14.271	3.627	0.711	0.427	0.024	1.043	105.919	45.326	2.608	0.142	0.071	22.283	0.024	4.86	0.057	4.648
FPK	female	68.611	13.049	24.927	4.872	6.713	16.248	15.475	73.024	10.1	7.654	17.88	0.628	2.677	3.158	1.255	12.631	2.07	1.066	1.108	0.606	0.962	77.373	66.207	2.781	0.648	1.171	14.324	14.011	4.078	0.073	4.163
FPL	female	69.407	0.248	48.423	6.332	7.574	27.688	12.292	45.443	5.587	0.497	2.235	0	3.849	0.869	0	6.705	0	0	0	0	1.614	68.537	58.108	0.869	0	0.621	6.829	12.913	6.208	0.062	4.041
FPM	male	62.24	8.333	38.844	3.312	6.111	27.797	19.379	45.724	11.025	4.978	12.627	0.214	1.88	1.624	0.684	14.636	0.62	0.342	0.427	0.128	0.385	72.517	65.658	1.987	0.427	1.261	13.503	24.721	4.23	0.079	4.064
